case,method,requested_overlap_ratio,actual_overlap_ratio,requested_outlier_fraction,actual_outlier_fraction,correspondence_fraction,effective_valid_pair_fraction,fraction_to_effective_valid_ratio,target_points,clean_source_points,source_points,overlap_points,outlier_points,correspondences_used,angle_deg,translation_scale,distance_scale,median_point_spacing,normalized_final_objective_rmse,normalized_final_all_nearest_neighbor_rmse,normalized_overlap_correspondence_rmse,rotation_error_deg,normalized_translation_error,retained_source_overlap_ratio,retained_source_nonoverlap_ratio,retained_outlier_ratio,overlap_source_retention,correct_match_precision,correct_match_recall,outlier_rejection_rate,normalized_median_retained_residual,normalized_median_rejected_residual,iterations,converged,recovered
case_01,all_pairs,1.0,1.0,0.0,0.0,1.0,1.0,1.0,6000,6000,6000,6000,0,6000,2.0,0.5,0.25,0.10703391976845436,4.6785174177541773e-14,4.6785174177541773e-14,4.6785174177541773e-14,0.0,2.4855785030285726e-15,1.0,0.0,0.0,1.0,1.0,1.0,,3.390190160991881e-14,,8,True,True
case_01,trim_0p7,1.0,1.0,0.0,0.0,0.7,1.0,0.7,6000,6000,6000,6000,0,4200,2.0,0.5,0.25,0.10703391976845436,4.030003281450486e-14,7.652444431697281e-14,7.652444431697281e-14,1.7075472925031877e-06,4.4326406760896055e-15,1.0,0.0,0.0,0.7,1.0,0.7,,3.226422868671574e-14,1.1324757954289626e-13,11,True,True
case_01,trim_0p4,1.0,1.0,0.0,0.0,0.4,1.0,0.4,6000,6000,6000,6000,0,2400,2.0,0.5,0.25,0.10703391976845436,1.6213236667207023e-14,6.657622218919388e-14,6.657622218919388e-14,0.0,2.769729972749807e-15,1.0,0.0,0.0,0.4,1.0,0.4,,1.389244132772645e-14,6.348734674112072e-14,13,True,True
case_01,all_pairs,1.0,1.0,0.02,0.0199281280627246,1.0,0.9800718719372754,1.0203333333333333,6000,6000,6122,6000,122,6122,2.0,0.5,0.25,0.10703391976845436,1.6723196369042503,1.6723196369042503,0.055037854425964594,0.053979585512127656,0.03500551673596559,0.9800718719372754,0.0,0.0199281280627246,1.0,0.9797451813132964,0.9996666666666667,0.0,0.03999436592065921,,8,True,False
case_01,trim_0p7,1.0,1.0,0.02,0.0199281280627246,0.7,0.9800718719372754,0.7142333333333333,6000,6000,6122,6000,122,4286,2.0,0.5,0.25,0.10703391976845436,3.066789527216628e-14,1.67322931059356,5.184500608329926e-14,0.0,7.682501088477145e-15,1.0,0.0,0.0,0.7143333333333334,1.0,0.7143333333333334,1.0,2.4928049206523358e-14,7.859008419016241e-14,11,True,True
case_01,trim_0p4,1.0,1.0,0.02,0.0199281280627246,0.4,0.9800718719372754,0.40813333333333335,6000,6000,6122,6000,122,2449,2.0,0.5,0.25,0.10703391976845436,2.2861737174086354e-14,1.6732293105935627,8.656405041807667e-14,1.7075472925031877e-06,2.0424326685691004e-15,1.0,0.0,0.0,0.4081666666666667,1.0,0.4081666666666667,1.0,1.953072895388499e-14,1.0045931642088895e-13,13,True,True
case_01,all_pairs,1.0,1.0,0.05,0.050031665611146296,1.0,0.9499683343888538,1.0526666666666666,6000,6000,6316,6000,316,6316,2.0,0.5,0.25,0.10703391976845436,2.619120056472439,2.619120056472439,0.0552625630815919,0.046090241532400704,0.0419549519971774,0.9499683343888538,0.0,0.050031665611146296,1.0,0.9499683343888538,1.0,0.0,0.044238347501374654,,8,True,False
case_01,trim_0p7,1.0,1.0,0.05,0.050031665611146296,0.7,0.9499683343888538,0.7368666666666666,6000,6000,6316,6000,316,4422,2.0,0.5,0.25,0.10703391976845436,9.84141384127999e-14,2.619703361147971,1.5077873370792558e-13,0.0,1.6564836828331224e-14,1.0,0.0,0.0,0.737,1.0,0.737,1.0,7.718574329091678e-14,2.4641569776359323e-13,11,True,True
case_01,trim_0p4,1.0,1.0,0.05,0.050031665611146296,0.4,0.9499683343888538,0.42106666666666664,6000,6000,6316,6000,316,2527,2.0,0.5,0.25,0.10703391976845436,2.2403734246419028e-14,2.6197033611479736,8.268358476349275e-14,0.0,3.808423436783893e-15,1.0,0.0,0.0,0.4211666666666667,1.0,0.4211666666666667,1.0,1.912716965532528e-14,9.286833380479668e-14,13,True,True
case_01,all_pairs,1.0,1.0,0.1,0.1000449977501125,1.0,0.8999550022498876,1.1111666666666666,6000,6000,6667,6000,667,6667,2.0,0.5,0.25,0.10703391976845436,3.735095476871073,3.735095476871073,0.08485720558134228,0.10432037792125903,0.017161462258397084,0.8999550022498876,0.0,0.1000449977501125,1.0,0.8995050247487626,0.9995,0.0,0.05683744607328549,,9,True,False
case_01,trim_0p7,1.0,1.0,0.1,0.1000449977501125,0.7,0.8999550022498876,0.7778166666666666,6000,6000,6667,6000,667,4667,2.0,0.5,0.25,0.10703391976845436,4.4386038167634016e-14,3.736091930189819,6.5658108773023e-14,0.0,1.2317932816507501e-14,1.0,0.0,0.0,0.7778333333333334,1.0,0.7778333333333334,1.0,3.491746296740379e-14,1.1884526408371845e-13,10,True,True
case_01,trim_0p4,1.0,1.0,0.1,0.1000449977501125,0.4,0.8999550022498876,0.4444666666666667,6000,6000,6667,6000,667,2667,2.0,0.5,0.25,0.10703391976845436,2.6237007669830888e-14,3.736091930189819,7.32634653735639e-14,0.0,1.8513170442309687e-15,1.0,0.0,0.0,0.4445,1.0,0.4445,1.0,2.300504420724815e-14,9.247683001898108e-14,13,True,True
case_02,all_pairs,0.8,0.8,0.0,0.0,1.0,0.8,1.25,5000,5000,5000,4000,0,5000,2.0,0.5,0.25,0.10703391976845436,4.656611293307766,4.656611293307766,37.779809462108965,0.6046352043603713,37.7725185756406,0.8,0.2,0.0,1.0,0.0,0.0,,4.55312393327698,,80,False,False
case_02,trim_0p7,0.8,0.8,0.0,0.0,0.7,0.8,0.8749999999999999,5000,5000,5000,4000,0,3500,2.0,0.5,0.25,0.10703391976845436,2.1577551643862737e-14,12.538660353348968,2.9468574013989625e-14,0.0,2.7613240960875648e-15,1.0,0.0,0.0,0.875,1.0,0.875,,1.7114836068737593e-14,12.475232254627844,7,True,True
case_02,trim_0p4,0.8,0.8,0.0,0.0,0.4,0.8,0.5,5000,5000,5000,4000,0,2000,2.0,0.5,0.25,0.10703391976845436,1.0221900942622833e-14,12.538660353348945,2.4345061658497536e-14,0.0,4.370817100870917e-15,1.0,0.0,0.0,0.5,1.0,0.5,,9.506670520212175e-15,3.4610921946210675e-14,9,True,True
case_02,all_pairs,0.8,0.8,0.02,0.0199921599372795,1.0,0.7840062720501764,1.2755,5000,5000,5102,4000,102,5102,2.0,0.5,0.25,0.10703391976845436,4.887925854264574,4.887925854264574,38.055223951618174,0.6560726495534962,38.04653271852614,0.7840062720501764,0.1960015680125441,0.0199921599372795,1.0,0.0,0.0,0.0,4.6091233575029795,,80,False,False
case_02,trim_0p7,0.8,0.8,0.02,0.0199921599372795,0.7,0.7840062720501764,0.89285,5000,5000,5102,4000,102,3572,2.0,0.5,0.25,0.10703391976845436,2.115981031280963e-14,12.741224021575524,2.694754811388757e-14,0.0,2.5822447870483805e-15,1.0,0.0,0.0,0.893,1.0,0.893,1.0,1.6873459209969353e-14,13.937061422322946,7,True,True
case_02,trim_0p4,0.8,0.8,0.02,0.0199921599372795,0.4,0.7840062720501764,0.5102000000000001,5000,5000,5102,4000,102,2041,2.0,0.5,0.25,0.10703391976845436,1.242214965748985e-14,12.741224021575519,3.24808297679006e-14,0.0,2.6802272051365284e-15,1.0,0.0,0.0,0.51025,1.0,0.51025,1.0,1.107493599858177e-14,5.077358986379717e-14,8,True,True
case_02,all_pairs,0.8,0.8,0.05,0.04997149914497435,1.0,0.7600228006840205,1.31575,5000,5000,5263,4000,263,5263,2.0,0.5,0.25,0.10703391976845436,5.225634406472994,5.225634406472994,38.824158447308534,0.728628579630125,38.81368619430705,0.7600228006840205,0.19000570017100513,0.04997149914497435,1.0,0.0,0.0,0.0,4.717823124982613,,80,False,False
case_02,trim_0p7,0.8,0.8,0.05,0.04997149914497435,0.7,0.7600228006840205,0.921025,5000,5000,5263,4000,263,3685,2.0,0.5,0.25,0.10703391976845436,3.190558985127147e-14,13.06856506813272,4.030895325170411e-14,0.0,7.487688159007518e-15,1.0,0.0,0.0,0.92125,1.0,0.92125,1.0,2.4463794022835194e-14,15.401132693633116,7,True,True
case_02,trim_0p4,0.8,0.8,0.05,0.04997149914497435,0.4,0.7600228006840205,0.5263,5000,5000,5263,4000,263,2106,2.0,0.5,0.25,0.10703391976845436,1.4780662824391073e-14,13.068565068132663,3.683186064781514e-14,2.699869328381916e-06,3.025851420938185e-15,1.0,0.0,0.0,0.5265,1.0,0.5265,1.0,1.3495631965504867e-14,6.649008223724323e-14,8,True,True
case_02,all_pairs,0.8,0.8,0.1,0.10007199424046076,1.0,0.7199424046076314,1.389,5000,5000,5556,4000,556,5556,2.0,0.5,0.25,0.10703391976845436,5.708337979410554,5.708337979410554,40.03367719340477,0.5554224915849139,40.041516524434655,0.7199424046076314,0.17998560115190784,0.10007199424046076,1.0,0.0,0.0,0.0,4.849706628528161,,80,False,False
case_02,trim_0p7,0.8,0.8,0.1,0.10007199424046076,0.7,0.7199424046076314,0.9722999999999999,5000,5000,5556,4000,556,3890,2.0,0.5,0.25,0.10703391976845436,2.7113709091059093e-14,13.545549850259077,2.930571001555035e-14,2.091309789151873e-06,3.0663807170522278e-15,1.0,0.0,0.0,0.9725,1.0,0.9725,1.0,2.0748496780801428e-14,16.461813917904824,7,True,True
case_02,trim_0p4,0.8,0.8,0.1,0.10007199424046076,0.4,0.7199424046076314,0.5556000000000001,5000,5000,5556,4000,556,2223,2.0,0.5,0.25,0.10703391976845436,3.5258414823900883e-14,13.545549850259063,7.482028418065422e-14,2.4148365394514667e-06,2.8428518272950663e-14,1.0,0.0,0.0,0.55575,1.0,0.55575,1.0,3.265756669663674e-14,1.6330075371608649e-13,8,True,True
case_03,all_pairs,0.6,0.6000933271115259,0.0,0.0,1.0,0.6000933271115259,1.6664074650077763,4286,4286,4286,2572,0,4286,2.0,0.5,0.25,0.10703391976845436,3.295821492960326,3.295821492960326,76.40715018129042,1.855593599982278,76.43902368592234,0.6000933271115259,0.3999066728884741,0.0,1.0,0.0,0.0,,2.70250414785759,,80,False,False
case_03,trim_0p7,0.6,0.6000933271115259,0.0,0.0,0.7,0.6000933271115259,1.1664852255054432,4286,4286,4286,2572,0,3001,2.0,0.5,0.25,0.10703391976845436,1.3815419241127112,20.51322510388096,9.992530097311203,0.860639296747103,10.007899997261148,0.8570476507830723,0.1429523492169277,0.0,1.0,0.0,0.0,,1.0211342787747029,33.022037668064975,80,False,False
case_03,trim_0p4,0.6,0.6000933271115259,0.0,0.0,0.4,0.6000933271115259,0.6665629860031105,4286,4286,4286,2572,0,1715,2.0,0.5,0.25,0.10703391976845436,1.885472382369582e-14,25.371271235495236,4.589409983341622e-14,0.0,7.304500357125227e-15,1.0,0.0,0.0,0.666796267496112,1.0,0.666796267496112,,1.590093750203702e-14,13.731056883863511,7,True,True
case_03,all_pairs,0.6,0.6000933271115259,0.02,0.01989480905556826,1.0,0.5881545849531215,1.7002332814930015,4286,4286,4373,2572,87,4373,2.0,0.5,0.25,0.10703391976845436,3.6323796547784353,3.6323796547784353,76.35538286358485,2.003169443968022,76.40300272775778,0.5881545849531215,0.3919506059913103,0.01989480905556826,1.0,0.0,0.0,0.0,2.7298647653489,,80,False,False
case_03,trim_0p7,0.6,0.6000933271115259,0.02,0.01989480905556826,0.7,0.5881545849531215,1.190163297045101,4286,4286,4373,2572,87,3062,2.0,0.5,0.25,0.10703391976845436,1.5104202970948903,20.05422064641399,11.57997708293526,0.5581008454418015,11.594801172688372,0.8399738732854344,0.15937295885042455,0.0006531678641410843,1.0,0.0,0.0,0.9770114942528736,1.1154158504636318,32.28302299152273,80,False,False
case_03,trim_0p4,0.6,0.6000933271115259,0.02,0.01989480905556826,0.4,0.5881545849531215,0.6800933125972006,4286,4286,4373,2572,87,1750,2.0,0.5,0.25,0.10703391976845436,7.0049093122828986e-15,25.671897981391208,1.4545499121112525e-14,1.2074182697257333e-06,3.0409620462148987e-15,1.0,0.0,0.0,0.6804043545878694,1.0,0.6804043545878694,1.0,6.330702979612442e-15,14.429717095938814,7,True,True
case_03,all_pairs,0.6,0.6000933271115259,0.05,0.050088652482269506,1.0,0.5700354609929078,1.754276827371695,4286,4286,4512,2572,226,4512,2.0,0.5,0.25,0.10703391976845436,4.082121896989527,4.082121896989527,76.27605516152745,2.0537982714340077,76.32547440061359,0.5700354609929078,0.3798758865248227,0.050088652482269506,1.0,0.0,0.0,0.0,2.7890333886928786,,80,False,False
case_03,trim_0p7,0.6,0.6000933271115259,0.05,0.050088652482269506,0.7,0.5700354609929078,1.2279937791601865,4286,4286,4512,2572,226,3159,2.0,0.5,0.25,0.10703391976845436,1.768703171973015,19.008486663221568,14.63051405487966,2.0100814610304365,14.643741920834012,0.814181703070592,0.1842355175688509,0.0015827793605571383,1.0,0.0,0.0,0.9778761061946902,1.352519370675744,30.511291049939793,80,False,False
case_03,trim_0p4,0.6,0.6000933271115259,0.05,0.050088652482269506,0.4,0.5700354609929078,0.7017107309486781,4286,4286,4512,2572,226,1805,2.0,0.5,0.25,0.10703391976845436,1.6858859912262446e-14,26.052715460940203,3.525280145353208e-14,0.0,4.192507148046053e-15,1.0,0.0,0.0,0.7017884914463453,1.0,0.7017884914463453,1.0,1.4705738133525795e-14,15.622005752238424,7,True,True
case_03,all_pairs,0.6,0.6000933271115259,0.1,0.0999580008399832,1.0,0.5401091978160437,1.8514774494556765,4286,4286,4762,2572,476,4762,2.0,0.5,0.25,0.10703391976845436,4.75849060502277,4.75849060502277,76.06088120580081,2.05433029493493,76.11316588660213,0.5401091978160437,0.3599328013439731,0.0999580008399832,1.0,0.0,0.0,0.0,2.971920609092086,,80,False,False
