case,method,requested_overlap_ratio,actual_overlap_ratio,requested_outlier_fraction,actual_outlier_fraction,correspondence_fraction,effective_valid_pair_fraction,fraction_to_effective_valid_ratio,target_points,clean_source_points,source_points,overlap_points,outlier_points,correspondences_used,angle_deg,translation_scale,distance_scale,median_point_spacing,normalized_final_objective_rmse,normalized_final_all_nearest_neighbor_rmse,normalized_overlap_correspondence_rmse,rotation_error_deg,normalized_translation_error,retained_source_overlap_ratio,retained_source_nonoverlap_ratio,retained_outlier_ratio,overlap_source_retention,correct_match_precision,correct_match_recall,outlier_rejection_rate,normalized_median_retained_residual,normalized_median_rejected_residual,iterations,converged,recovered
case_01,all_pairs,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5000,5000,5000,5000,0,5000,2.0,0.5,0.25,4.929224061400307,1.3559335650670046e-13,1.3559335650670046e-13,1.3559335650670046e-13,0.0,2.1105964421678703e-13,1.0,0.0,0.0,1.0,1.0,1.0,,1.203967822376957e-13,,10,True,True
case_01,trim_0p7,1.0,1.0,0.0,0.0,0.7,1.0,0.7,5000,5000,5000,5000,0,3500,2.0,0.5,0.25,4.929224061400307,3.3150997016395817e-13,3.772791635713119e-13,3.772791635713119e-13,0.0,4.958757470489052e-13,1.0,0.0,0.0,0.7,1.0,0.7,,3.320498037233087e-13,4.645958564929474e-13,17,True,True
case_01,trim_0p4,1.0,1.0,0.0,0.0,0.4,1.0,0.4,5000,5000,5000,5000,0,2000,2.0,0.5,0.25,4.929224061400307,1.7284814703222342e-13,3.29649706825876e-13,3.29649706825876e-13,0.0,5.841532760378281e-13,1.0,0.0,0.0,0.4,1.0,0.4,,1.682821401436203e-13,3.9144434209535724e-13,31,True,True
case_01,all_pairs,1.0,1.0,0.02,0.0199921599372795,1.0,0.9800078400627205,1.0204,5000,5000,5102,5000,102,5102,2.0,0.5,0.25,4.929224061400307,0.9933884883748482,0.9933884883748482,0.03459305046136148,0.0411581851747452,0.08890449336694317,0.9800078400627205,0.0,0.0199921599372795,1.0,0.9800078400627205,1.0,0.0,0.025471158557857063,,10,True,False
case_01,trim_0p7,1.0,1.0,0.02,0.0199921599372795,0.7,0.9800078400627205,0.71428,5000,5000,5102,5000,102,3572,2.0,0.5,0.25,4.929224061400307,1.3993293362935955e-13,0.9939891343386759,1.9733589784901855e-13,0.0,7.093322035316475e-14,1.0,0.0,0.0,0.7144,1.0,0.7144,1.0,1.3152240444216108e-13,2.8286980875551283e-13,17,True,True
case_01,trim_0p4,1.0,1.0,0.02,0.0199921599372795,0.4,0.9800078400627205,0.40816,5000,5000,5102,5000,102,2041,2.0,0.5,0.25,4.929224061400307,1.3742176128663195e-13,0.9939891343386759,2.44486409327165e-13,2.9575586669421963e-06,3.9828222242858923e-13,1.0,0.0,0.0,0.4082,1.0,0.4082,1.0,1.3498536309101092e-13,2.929314263408485e-13,30,True,True
case_01,all_pairs,1.0,1.0,0.05,0.04997149914497435,1.0,0.9500285008550257,1.0526,5000,5000,5263,5000,263,5263,2.0,0.5,0.25,4.929224061400307,1.5550903263867175,1.5550903263867175,0.06903362703168024,0.0895094620944916,0.17281158157809173,0.9500285008550257,0.0,0.04997149914497435,1.0,0.9500285008550257,1.0,0.0,0.05552227532038422,,11,True,False
case_01,trim_0p7,1.0,1.0,0.05,0.04997149914497435,0.7,0.9500285008550257,0.7368199999999999,5000,5000,5263,5000,263,3685,2.0,0.5,0.25,4.929224061400307,9.008857063013622e-14,1.556628192584634,1.197432903228707e-13,0.0,1.5698318288268888e-13,1.0,0.0,0.0,0.737,1.0,0.737,1.0,8.395364678787239e-14,1.742223900734631e-13,16,True,True
case_01,trim_0p4,1.0,1.0,0.05,0.04997149914497435,0.4,0.9500285008550257,0.42104,5000,5000,5263,5000,263,2106,2.0,0.5,0.25,4.929224061400307,7.31110341349663e-14,1.5566281925846353,1.4631739383590707e-13,0.0,1.0672092783375214e-13,1.0,0.0,0.0,0.4212,1.0,0.4212,1.0,7.293437897546417e-14,1.6310031353569607e-13,29,True,True
case_01,all_pairs,1.0,1.0,0.1,0.10007199424046076,1.0,0.8999280057595392,1.1112,5000,5000,5556,5000,556,5556,2.0,0.5,0.25,4.929224061400307,2.210172232836047,2.210172232836047,0.1340909431128237,0.1850036661219308,0.3241163744432291,0.8999280057595392,0.0,0.10007199424046076,1.0,0.8999280057595392,1.0,0.0,0.11020992325557702,,11,True,False
case_01,trim_0p7,1.0,1.0,0.1,0.10007199424046076,0.7,0.8999280057595392,0.77784,5000,5000,5556,5000,556,3890,2.0,0.5,0.25,4.929224061400307,1.2382360369270725e-13,2.2142409782126258,1.5234789224917915e-13,0.0,2.070675628417039e-13,1.0,0.0,0.0,0.778,1.0,0.778,1.0,1.1552826849747245e-13,2.345663798620776e-13,15,True,True
case_01,trim_0p4,1.0,1.0,0.1,0.10007199424046076,0.4,0.8999280057595392,0.44448000000000004,5000,5000,5556,5000,556,2223,2.0,0.5,0.25,4.929224061400307,6.056811329993142e-14,2.2142409782126236,1.0292224626072565e-13,0.0,1.60581945256057e-13,1.0,0.0,0.0,0.4446,1.0,0.4446,1.0,5.782154156134104e-14,1.285828413640524e-13,27,True,True
case_02,all_pairs,0.8,0.8000959923206143,0.0,0.0,1.0,0.8000959923206143,1.2498500299940012,4167,4167,4167,3334,0,4167,2.0,0.5,0.25,4.929224061400307,1.15584444201761,1.15584444201761,21.65904509873318,0.11127063974910555,21.58179759644989,0.8000959923206143,0.19990400767938565,0.0,1.0,0.0,0.0,,0.9501092163321729,,80,False,False
case_02,trim_0p7,0.8,0.8000959923206143,0.0,0.0,0.7,0.8000959923206143,0.8748950209958007,4167,4167,4167,3334,0,2917,2.0,0.5,0.25,4.929224061400307,1.374662655792077e-13,6.281457001150376,1.5312061876177285e-13,2.9575586669421963e-06,9.469451974897114e-14,1.0,0.0,0.0,0.8749250149970006,1.0,0.8749250149970006,,1.2893393584137763e-13,6.250342506558269,10,True,True
case_02,trim_0p4,0.8,0.8000959923206143,0.0,0.0,0.4,0.8000959923206143,0.4999400119976005,4167,4167,4167,3334,0,1667,2.0,0.5,0.25,4.929224061400307,8.710091599324673e-14,6.281457001150485,1.7057062759467437e-13,3.818191820832846e-06,1.2194123889359404e-13,1.0,0.0,0.0,0.5,1.0,0.5,,8.725555405759002e-14,2.5788675687606356e-13,16,True,True
case_02,all_pairs,0.8,0.8000959923206143,0.02,0.019990592662276575,1.0,0.784101599247413,1.2753449310137972,4167,4167,4252,3334,85,4252,2.0,0.5,0.25,4.929224061400307,1.4794235658419552,1.4794235658419552,21.677017354621505,0.14960430033462055,21.558063620464058,0.784101599247413,0.19590780809031044,0.019990592662276575,1.0,0.0,0.0,0.0,0.9634353490060049,,80,False,False
case_02,trim_0p7,0.8,0.8000959923206143,0.02,0.019990592662276575,0.7,0.784101599247413,0.892741451709658,4167,4167,4252,3334,85,2977,2.0,0.5,0.25,4.929224061400307,1.86094707408704e-13,6.346683276870582,1.9804226891909654e-13,0.0,1.7851866178032678e-13,1.0,0.0,0.0,0.8929214157168567,1.0,0.8929214157168567,1.0,1.8099886369597782e-13,6.939342067460554,10,True,True
case_02,trim_0p4,0.8,0.8000959923206143,0.02,0.019990592662276575,0.4,0.784101599247413,0.510137972405519,4167,4167,4252,3334,85,1701,2.0,0.5,0.25,4.929224061400307,1.789283017257458e-13,6.3466832768706505,2.795701890208493e-13,0.0,4.5256176632860395e-13,1.0,0.0,0.0,0.5101979604079184,1.0,0.5101979604079184,1.0,1.7799957924809477e-13,4.003082075217296e-13,16,True,True
case_02,all_pairs,0.8,0.8000959923206143,0.05,0.04993160054719562,1.0,0.7601459188326494,1.3155368926214757,4167,4167,4386,3334,219,4386,2.0,0.5,0.25,4.929224061400307,1.8539252972309535,1.8539252972309535,21.73175272496134,0.19039776135060116,21.63367884329049,0.7601459188326494,0.18992248062015504,0.04993160054719562,1.0,0.0,0.0,0.0,0.9851549177188049,,80,False,False
case_02,trim_0p7,0.8,0.8000959923206143,0.05,0.04993160054719562,0.7,0.7601459188326494,0.9208758248350329,4167,4167,4386,3334,219,3071,2.0,0.5,0.25,4.929224061400307,2.308736539582806e-13,6.496705704723163,2.3490747559584e-13,1.7075472925031877e-06,2.7325701405445113e-13,1.0,0.0,0.0,0.9211157768446311,1.0,0.9211157768446311,1.0,2.3418009658344047e-13,7.6057120841837085,9,True,True
case_02,trim_0p4,0.8,0.8000959923206143,0.05,0.04993160054719562,0.4,0.7601459188326494,0.5262147570485903,4167,4167,4386,3334,219,1755,2.0,0.5,0.25,4.929224061400307,9.050987313932808e-14,6.496705704723058,1.228541572782139e-13,1.7075472925031877e-06,2.4403312983030615e-13,1.0,0.0,0.0,0.5263947210557889,1.0,0.5263947210557889,1.0,9.225606599652005e-14,1.714389593669755e-13,15,True,True
case_02,all_pairs,0.8,0.8000959923206143,0.1,0.1,1.0,0.7200863930885529,1.3887222555488903,4167,4167,4630,3334,463,4630,2.0,0.5,0.25,4.929224061400307,2.3459148145090567,2.3459148145090567,21.782952293716352,0.3769142063754146,21.48310487334137,0.7200863930885529,0.1799136069114471,0.1,1.0,0.0,0.0,0.0,1.0364710305265539,,80,False,False
case_02,trim_0p7,0.8,0.8000959923206143,0.1,0.1,0.7,0.7200863930885529,0.9721055788842231,4167,4167,4630,3334,463,3241,2.0,0.5,0.25,4.929224061400307,5.450815728885094e-14,6.661042747034489,5.729781080374543e-14,1.7075472925031877e-06,9.157096639101562e-14,1.0,0.0,0.0,0.9721055788842231,1.0,0.9721055788842231,1.0,5.1924914120215384e-14,7.935817893234385,9,True,True
case_02,trim_0p4,0.8,0.8000959923206143,0.1,0.1,0.4,0.7200863930885529,0.5554889022195562,4167,4167,4630,3334,463,1852,2.0,0.5,0.25,4.929224061400307,1.3791465427493887e-13,6.66104274703452,1.8091129490492003e-13,2.699869328381916e-06,2.9302828021329534e-13,1.0,0.0,0.0,0.555488902219556,1.0,0.555488902219556,1.0,1.3887954167662434e-13,2.5914892977527253e-13,15,True,True
case_03,all_pairs,0.6,0.5998319798375805,0.0,0.0,1.0,0.5998319798375805,1.6671335200746966,3571,3571,3571,2142,0,3571,2.0,0.5,0.25,4.929224061400307,1.164544918344366,1.164544918344366,38.88224429773114,0.19807787946712974,38.77649549542259,0.5998319798375805,0.4001680201624195,0.0,1.0,0.0,0.0,,0.9558240179352494,,80,False,False
case_03,trim_0p7,0.6,0.5998319798375805,0.0,0.0,0.7,0.5998319798375805,1.1669934640522874,3571,3571,3571,2142,0,2500,2.0,0.5,0.25,4.929224061400307,1.0941615155441906,10.357364250718769,9.407931571797256,1.8623155604242445,7.395676400373029,0.8524,0.1476,0.0,0.9948646125116714,0.0,0.0,,0.9040111077031553,16.599503804005433,80,False,False
case_03,trim_0p4,0.6,0.5998319798375805,0.0,0.0,0.4,0.5998319798375805,0.6668534080298787,3571,3571,3571,2142,0,1429,2.0,0.5,0.25,4.929224061400307,6.335810374597436e-14,15.106915951043941,8.091940007379976e-14,0.0,5.824895171797918e-14,1.0,0.0,0.0,0.6671335200746965,1.0,0.6671335200746965,,6.237490152780263e-14,10.753636079027466,10,True,True
case_03,all_pairs,0.6,0.5998319798375805,0.02,0.020032930845225026,1.0,0.5878155872667399,1.7012138188608776,3571,3571,3644,2142,73,3644,2.0,0.5,0.25,4.929224061400307,1.4244076318407217,1.4244076318407217,38.91419492724575,0.20957978488234397,38.76335365905759,0.5878155872667399,0.3921514818880351,0.020032930845225026,1.0,0.0,0.0,0.0,0.9721979762883618,,80,False,False
case_03,trim_0p7,0.6,0.5998319798375805,0.02,0.020032930845225026,0.7,0.5878155872667399,1.1908496732026141,3571,3571,3644,2142,73,2551,2.0,0.5,0.25,4.929224061400307,1.1495228754937812,10.092177717914588,10.11465053027172,1.7985542403497343,8.143462830487282,0.8384947079576637,0.16150529204233635,0.0,0.9985994397759104,0.0,0.0,1.0,0.958184863264233,15.981136791168082,80,False,False
case_03,trim_0p4,0.6,0.5998319798375805,0.02,0.020032930845225026,0.4,0.5878155872667399,0.6804855275443511,3571,3571,3644,2142,73,1458,2.0,0.5,0.25,4.929224061400307,3.2437200470017525e-14,15.184077806707993,4.507905998848467e-14,1.7075472925031877e-06,3.633736270930077e-14,1.0,0.0,0.0,0.680672268907563,1.0,0.680672268907563,1.0,2.9493908533055754e-14,10.800619468079345,10,True,True
case_03,all_pairs,0.6,0.5998319798375805,0.05,0.05001330140994945,1.0,0.5698324022346368,1.754901960784314,3571,3571,3759,2142,188,3759,2.0,0.5,0.25,4.929224061400307,1.7429678016908179,1.7429678016908179,38.94365346328056,0.3008972735209428,38.708068946791364,0.5698324022346368,0.3801542963554137,0.05001330140994945,1.0,0.0,0.0,0.0,0.9950088016021882,,80,False,False
case_03,trim_0p7,0.6,0.5998319798375805,0.05,0.05001330140994945,0.7,0.5698324022346368,1.2284313725490197,3571,3571,3759,2142,188,2632,2.0,0.5,0.25,4.929224061400307,1.1426698811378901,8.896422520205334,12.918643618739486,2.538026453041738,10.230923442069932,0.8115501519756839,0.1884498480243161,0.0,0.9971988795518207,0.0,0.0,1.0,0.9343269954985994,13.27816346033791,80,False,False
case_03,trim_0p4,0.6,0.5998319798375805,0.05,0.05001330140994945,0.4,0.5698324022346368,0.7019607843137255,3571,3571,3759,2142,188,1504,2.0,0.5,0.25,4.929224061400307,1.4734334429389306e-13,15.239867109526449,1.5983024899244204e-13,2.9575586669421963e-06,2.0988883497794952e-13,1.0,0.0,0.0,0.7021475256769374,1.0,0.7021475256769374,1.0,1.513506617086363e-13,11.033914280227604,10,True,True
case_03,all_pairs,0.6,0.5998319798375805,0.1,0.10005040322580645,1.0,0.5398185483870968,1.8524743230625584,3571,3571,3968,2142,397,3968,2.0,0.5,0.25,4.929224061400307,2.161394081505535,2.161394081505535,39.09353879964859,0.3737852398636094,38.77704386230048,0.5398185483870968,0.36013104838709675,0.10005040322580645,1.0,0.0,0.0,0.0,1.0509259281959977,,80,False,False
case_03,trim_0p7,0.6,0.5998319798375805,0.1,0.10005040322580645,0.7,0.5398185483870968,1.296732026143791,3571,3571,3968,2142,397,2778,2.0,0.5,0.25,4.929224061400307,1.164534921314228,7.700771581469521,15.824994840225141,2.4029375910964523,13.139297392977525,0.7706983441324694,0.22822174226061914,0.0010799136069114472,0.9995331465919701,0.0,0.0,0.9924433249370277,0.9339283806152638,10.434803170511397,80,False,False
case_03,trim_0p4,0.6,0.5998319798375805,0.1,0.10005040322580645,0.4,0.5398185483870968,0.7409897292250234,3571,3571,3968,2142,397,1588,2.0,0.5,0.25,4.929224061400307,6.050752102276553e-14,15.253590861378871,7.589856387836718e-14,2.699869328381916e-06,1.202937251868705e-13,1.0,0.0,0.0,0.7413632119514473,1.0,0.7413632119514473,1.0,5.8804937289294e-14,11.001881484017574,9,True,True
case_04,all_pairs,0.4,0.4,0.0,0.0,1.0,0.4,2.5,3125,3125,3125,1250,0,3125,2.0,0.5,0.25,4.929224061400307,1.177027446727345,1.177027446727345,51.29036148154246,0.3761969180429271,51.636145318568495,0.4,0.6,0.0,1.0,0.0,0.0,,0.9604638753621076,,80,False,False
case_04,trim_0p7,0.4,0.4,0.0,0.0,0.7,0.4,1.7499999999999998,3125,3125,3125,1250,0,2188,2.0,0.5,0.25,4.929224061400307,1.1133852042079524,9.074586170342885,25.680318643847755,2.741010161025973,22.60849348252635,0.5658135283363802,0.43418647166361973,0.0,0.9904,0.0,0.0,,0.9511747214435852,14.314332971289007,80,False,False
case_04,trim_0p4,0.4,0.4,0.0,0.0,0.4,0.4,1.0,3125,3125,3125,1250,0,1250,2.0,0.5,0.25,4.929224061400307,6.171674095559958e-14,23.852828560940758,6.171674095559958e-14,1.7075472925031877e-06,2.6567545125354044e-14,1.0,0.0,0.0,1.0,1.0,1.0,,4.755432387475226e-14,27.043026877938853,8,True,True
case_04,all_pairs,0.4,0.4,0.02,0.02006898714330511,1.0,0.39197240514267795,2.5512,3125,3125,3189,1250,64,3189,2.0,0.5,0.25,4.929224061400307,1.429445883071094,1.429445883071094,51.619667322783656,0.34759006984078933,51.44411598227147,0.39197240514267795,0.587958607714017,0.02006898714330511,1.0,0.0,0.0,0.0,0.9879656815663423,,80,False,False
case_04,trim_0p7,0.4,0.4,0.02,0.02006898714330511,0.7,0.39197240514267795,1.7858399999999999,3125,3125,3189,1250,64,2233,2.0,0.5,0.25,4.929224061400307,1.1071508288680396,8.516990882691571,26.984009163314983,3.130580832033659,23.501613166953238,0.5526197939991043,0.4473802060008957,0.0,0.9872,0.0,0.0,1.0,0.9515142962621376,13.034714796189586,80,False,False
case_04,trim_0p4,0.4,0.4,0.02,0.02006898714330511,0.4,0.39197240514267795,1.02048,3125,3125,3189,1250,64,1276,2.0,0.5,0.25,4.929224061400307,0.17713202650812943,23.876248771717453,0.020642563325965622,0.004450321973784875,0.026388291609700746,0.9796238244514106,0.02037617554858934,0.0,1.0,0.9796238244514106,1.0,1.0,0.02055707168159567,27.04106498714929,8,True,False
case_04,all_pairs,0.4,0.4,0.05,0.049863180297962904,1.0,0.38005472788081485,2.6311999999999998,3125,3125,3289,1250,164,3289,2.0,0.5,0.25,4.929224061400307,1.7293891875878666,1.7293891875878666,51.63431417653988,0.41572812109122986,51.40649975462467,0.38005472788081485,0.5700820918212223,0.049863180297962904,1.0,0.0,0.0,0.0,1.0073689352585147,,80,False,False
case_04,trim_0p7,0.4,0.4,0.05,0.049863180297962904,0.7,0.38005472788081485,1.84184,3125,3125,3289,1250,164,2303,2.0,0.5,0.25,4.929224061400307,1.126138395916613,7.860620470647545,28.494101916489512,2.8529296356274148,25.261145200959312,0.541033434650456,0.45896656534954405,0.0,0.9968,0.0,0.0,1.0,0.9600227212825614,11.530785902754195,80,False,False
case_04,trim_0p4,0.4,0.4,0.05,0.049863180297962904,0.4,0.38005472788081485,1.05248,3125,3125,3289,1250,164,1316,2.0,0.5,0.25,4.929224061400307,0.4279735550121986,23.849711731293578,0.07969119111103873,0.025003754786524803,0.11311005355218814,0.9498480243161094,0.05015197568389058,0.0,1.0,0.9498480243161094,1.0,1.0,0.0796160348131014,27.064640301936407,9,True,False
case_04,all_pairs,0.4,0.4,0.1,0.09994239631336406,1.0,0.36002304147465436,2.7776,3125,3125,3472,1250,347,3472,2.0,0.5,0.25,4.929224061400307,2.108318729032541,2.108318729032541,51.84885679113654,0.4960571405169267,51.48337611244146,0.36002304147465436,0.5400345622119815,0.09994239631336406,1.0,0.0,0.0,0.0,1.0412198701133537,,80,False,False
