experiment,dataset,conditions_evaluated,selected_condition,selection_rule,primary_metric,primary_value,secondary_metric,secondary_value,evidence_scope,source_metrics
voxel_downsampling,synthetic,3,voxel_size=0.25,"Retention ratio closest to 0.5; representative only, not an optimum",retention_ratio,0.5908333333333333,coverage_rmse_over_input_spacing,0.509053752337727,Self-coverage against the original cloud,voxel_downsampling/synthetic/metrics.csv
voxel_downsampling,usgs_3dep_iowa,3,voxel_size=10,"Retention ratio closest to 0.5; representative only, not an optimum",retention_ratio,0.6544,coverage_rmse_over_input_spacing,0.461028840119775,Self-coverage against the original cloud,voxel_downsampling/usgs_3dep_iowa/metrics.csv
outlier_filtering,synthetic,6,std_ratio=1.5,Highest F1 against controlled injected labels,f1,0.9343750000000001,inlier_retention,0.9958333333333333,Ground-truth labels for injected outliers,outlier_filtering/synthetic/metrics.csv
outlier_filtering,usgs_3dep_iowa,6,std_ratio=2,Highest F1 against controlled injected labels,f1,0.9142857142857143,inlier_retention,0.9956,Ground-truth labels for injected outliers,outlier_filtering/usgs_3dep_iowa/metrics.csv
normal_estimation,synthetic,4,neighbors=64,Lowest mean error against analytic reference normals,mean_angular_error_deg,0.8461457267743532,median_neighborhood_radius,1.2958300468428992,Analytic normal ground truth,normal_estimation/synthetic/metrics.csv
normal_estimation,usgs_3dep_iowa,4,neighbors=64,"Lowest perturbation repeatability error; stability only, not accuracy",median_repeatability_error_deg,0.09068013352279602,median_neighborhood_radius,45.63083113173949,Controlled perturbation without normal ground truth,normal_estimation/usgs_3dep_iowa/metrics.csv
registration,synthetic,4,recovered=3/4,Converged with known-pair RMSE no greater than 0.01 times spacing,recovery_rate,0.75,largest_recovered_angle_deg,10.0,Known rigid transform and one-to-one correspondences,registration/synthetic/metrics.csv
registration,usgs_3dep_iowa,4,recovered=2/4,Converged with known-pair RMSE no greater than 0.01 times spacing,recovery_rate,0.5,largest_recovered_angle_deg,5.0,Known rigid transform and one-to-one correspondences,registration/usgs_3dep_iowa/metrics.csv
partial_overlap_registration,synthetic,8,trim_fraction=0.7,Compare a fixed trimmed fraction with all-pairs ICP across the same overlap sweep,trimmed_recovery_rate,0.5,all_pairs_recovery_rate,0.25,Known transform and known correspondences in the overlap,partial_overlap_registration/synthetic/metrics.csv
partial_overlap_registration,usgs_3dep_iowa,8,trim_fraction=0.7,Compare a fixed trimmed fraction with all-pairs ICP across the same overlap sweep,trimmed_recovery_rate,0.5,all_pairs_recovery_rate,0.25,Known transform and known correspondences in the overlap,partial_overlap_registration/usgs_3dep_iowa/metrics.csv
trim_sensitivity,synthetic,28,trim_fraction=0.4,Highest controlled recovery rate across the overlap sweep; ties retain more correspondences,recovery_rate,1.0,mean_correct_match_precision,1.0,"Known transform, overlap membership, and exact overlap pairs",trim_sensitivity/synthetic/metrics.csv
trim_sensitivity,usgs_3dep_iowa,28,trim_fraction=0.4,Highest controlled recovery rate across the overlap sweep; ties retain more correspondences,recovery_rate,1.0,mean_correct_match_precision,1.0,"Known transform, overlap membership, and exact overlap pairs",trim_sensitivity/usgs_3dep_iowa/metrics.csv
