case,requested_overlap_ratio,actual_overlap_ratio,trim_fraction,fraction_to_overlap_ratio,scan_points,overlap_points,correspondences_used,angle_deg,translation_scale,median_point_spacing,normalized_final_objective_rmse,normalized_final_all_nearest_neighbor_rmse,normalized_overlap_correspondence_rmse,rotation_error_deg,normalized_translation_error,retained_source_overlap_ratio,overlap_source_retention,correct_match_precision,correct_match_recall,normalized_median_retained_residual,normalized_median_rejected_residual,iterations,converged,recovered
case_01,1.0,1.0,0.4,0.4,6000,6000,2400,2.0,0.5,0.10703391976845436,1.6213236667207023e-14,6.657622218919388e-14,6.657622218919388e-14,0.0,2.769729972749807e-15,1.0,0.4,1.0,0.4,1.389244132772645e-14,6.348734674112072e-14,13,True,True
case_01,1.0,1.0,0.5,0.5,6000,6000,3000,2.0,0.5,0.10703391976845436,2.8050011192919957e-14,8.188226940257675e-14,8.188226940257675e-14,0.0,1.9823901765639962e-15,1.0,0.5,1.0,0.5,2.3795129765281887e-14,1.014350853890912e-13,12,True,True
case_01,1.0,1.0,0.6,0.6,6000,6000,3600,2.0,0.5,0.10703391976845436,3.806646389931939e-14,7.600526511254673e-14,7.600526511254673e-14,0.0,4.689382452472438e-15,1.0,0.6,1.0,0.6,3.107081158476237e-14,1.0047956266507932e-13,12,True,True
case_01,1.0,1.0,0.7,0.7,6000,6000,4200,2.0,0.5,0.10703391976845436,4.030003281450486e-14,7.652444431697281e-14,7.652444431697281e-14,1.7075472925031877e-06,4.4326406760896055e-15,1.0,0.7,1.0,0.7,3.226422868671574e-14,1.1324757954289626e-13,11,True,True
case_01,1.0,1.0,0.8,0.8,6000,6000,4800,2.0,0.5,0.10703391976845436,4.1513336246297713e-14,6.135188320811474e-14,6.135188320811474e-14,2.091309789151873e-06,6.221634958113767e-15,1.0,0.8,1.0,0.8,3.034381482519044e-14,1.0095278325635022e-13,10,True,True
case_01,1.0,1.0,0.9,0.9,6000,6000,5400,2.0,0.5,0.10703391976845436,4.8956599380370857e-14,6.130926563793231e-14,6.130926563793231e-14,0.0,5.821081511048735e-15,1.0,0.9,1.0,0.9,3.3480263969539925e-14,1.1883002157702714e-13,9,True,True
case_01,1.0,1.0,1.0,1.0,6000,6000,6000,2.0,0.5,0.10703391976845436,4.6785174177541773e-14,4.6785174177541773e-14,4.6785174177541773e-14,0.0,2.4855785030285726e-15,1.0,1.0,1.0,1.0,3.390190160991881e-14,,8,True,True
case_02,0.8,0.8,0.4,0.5,5000,4000,2000,2.0,0.5,0.10703391976845436,1.0221900942622833e-14,12.538660353348945,2.4345061658497536e-14,0.0,4.370817100870917e-15,1.0,0.5,1.0,0.5,9.506670520212175e-15,3.4610921946210675e-14,9,True,True
case_02,0.8,0.8,0.5,0.625,5000,4000,2500,2.0,0.5,0.10703391976845436,1.3094379234756989e-14,12.538660353348922,2.6253436248536174e-14,0.0,9.681579129035969e-15,1.0,0.625,1.0,0.625,1.1409890712491729e-14,4.9727500819279226e-14,8,True,True
case_02,0.8,0.8,0.6,0.7499999999999999,5000,4000,3000,2.0,0.5,0.10703391976845436,3.206291432958709e-14,12.538660353348913,5.2819887794081597e-14,2.9575586669421963e-06,1.0100525360453323e-14,1.0,0.75,1.0,0.75,2.646798151311791e-14,0.31352688896458875,8,True,True
case_02,0.8,0.8,0.7,0.8749999999999999,5000,4000,3500,2.0,0.5,0.10703391976845436,2.1577551643862737e-14,12.538660353348968,2.9468574013989625e-14,0.0,2.7613240960875648e-15,1.0,0.875,1.0,0.875,1.7114836068737593e-14,12.475232254627844,7,True,True
case_02,0.8,0.8,0.8,1.0,5000,4000,4000,2.0,0.5,0.10703391976845436,5.2232559583464095e-14,12.538660353348961,5.2232559583464095e-14,0.0,6.3088611875625534e-15,1.0,1.0,1.0,1.0,3.185482517608317e-14,24.414337395768023,7,True,True
case_02,0.8,0.8,0.9,1.125,5000,4000,4500,2.0,0.5,0.10703391976845436,2.7583173433730734,8.092320375929237,13.356710756073033,1.1051326780857527,13.305587099146923,0.8888888888888888,1.0,0.0,0.0,2.1387081648030626,23.0616506475638,80,False,False
