case,requested_overlap_ratio,actual_overlap_ratio,trim_fraction,fraction_to_overlap_ratio,scan_points,overlap_points,correspondences_used,angle_deg,translation_scale,median_point_spacing,normalized_final_objective_rmse,normalized_final_all_nearest_neighbor_rmse,normalized_overlap_correspondence_rmse,rotation_error_deg,normalized_translation_error,retained_source_overlap_ratio,overlap_source_retention,correct_match_precision,correct_match_recall,normalized_median_retained_residual,normalized_median_rejected_residual,iterations,converged,recovered
case_01,1.0,1.0,0.4,0.4,5000,5000,2000,2.0,0.5,4.929224061400307,1.7284814703222342e-13,3.29649706825876e-13,3.29649706825876e-13,0.0,5.841532760378281e-13,1.0,0.4,1.0,0.4,1.682821401436203e-13,3.9144434209535724e-13,31,True,True
case_01,1.0,1.0,0.5,0.5,5000,5000,2500,2.0,0.5,4.929224061400307,1.0244622379695994e-13,1.6167732823604299e-13,1.6167732823604299e-13,0.0,1.9068788720740484e-13,1.0,0.5,1.0,0.5,1.0314502398890408e-13,1.764664816464134e-13,24,True,True
case_01,1.0,1.0,0.6,0.6,5000,5000,3000,2.0,0.5,4.929224061400307,1.2051483722549551e-13,1.6746235448055906e-13,1.6746235448055906e-13,0.0,1.9362008665283956e-13,1.0,0.6,1.0,0.6,1.187551816421535e-13,2.076040463378431e-13,20,True,True
case_01,1.0,1.0,0.7,0.7,5000,5000,3500,2.0,0.5,4.929224061400307,3.3150997016395817e-13,3.772791635713119e-13,3.772791635713119e-13,0.0,4.958757470489052e-13,1.0,0.7,1.0,0.7,3.320498037233087e-13,4.645958564929474e-13,17,True,True
case_01,1.0,1.0,0.8,0.8,5000,5000,4000,2.0,0.5,4.929224061400307,1.4617978679740952e-13,1.5650395589774296e-13,1.5650395589774296e-13,1.7075472925031877e-06,1.9199029290013583e-13,1.0,0.8,1.0,0.8,1.5097156681233147e-13,1.859637375093156e-13,14,True,True
case_01,1.0,1.0,0.9,0.9,5000,5000,4500,2.0,0.5,4.929224061400307,1.7145853210952262e-13,1.8155662861063094e-13,1.8155662861063094e-13,0.0,2.8890302291795857e-13,1.0,0.9,1.0,0.9,1.7301277326949004e-13,2.5274207772166966e-13,12,True,True
case_01,1.0,1.0,1.0,1.0,5000,5000,5000,2.0,0.5,4.929224061400307,1.3559335650670046e-13,1.3559335650670046e-13,1.3559335650670046e-13,0.0,2.1105964421678703e-13,1.0,1.0,1.0,1.0,1.203967822376957e-13,,10,True,True
case_02,0.8,0.8000959923206143,0.4,0.4999400119976005,4167,3334,1667,2.0,0.5,4.929224061400307,8.710091599324673e-14,6.281457001150485,1.7057062759467437e-13,3.818191820832846e-06,1.2194123889359404e-13,1.0,0.5,1.0,0.5,8.725555405759002e-14,2.5788675687606356e-13,16,True,True
case_02,0.8,0.8000959923206143,0.5,0.6249250149970006,4167,3334,2084,2.0,0.5,4.929224061400307,1.5660312331234596e-13,6.281457001150476,2.0026527347558776e-13,3.818191820832846e-06,4.1411133141160067e-13,1.0,0.6250749850029994,1.0,0.6250749850029994,1.5685769707738017e-13,2.888436798825747e-13,13,True,True
case_02,0.8,0.8000959923206143,0.6,0.7499100179964007,4167,3334,2501,2.0,0.5,4.929224061400307,9.063103934048925e-14,6.281457001150494,1.1568825908488984e-13,1.7075472925031877e-06,6.590089011883752e-14,1.0,0.7501499700059988,1.0,0.7501499700059988,8.572927953108388e-14,0.29306007155844843,11,True,True
